year,country,pref,reuse,variance,covariance,exports,imports,consumption,maxflowreuse,leontiefreuse,impshare,logsize
1998,RUS,.055859376,.094782874,8.2565236e-07,.00050541048,91285.063,63704.539,289317.25,.3375994,.088038288,.16737822,12.84951
1998,RoW,.40122071,.33257756,.000063772961,-.00060773978,643545.38,1012170.9,3589887,1,.22186157,.23908989,15.258524
1998,SVK,.39882812,.50887412,6.2238382e-06,-.00070742588,12467.781,14211.735,23430.395,.71792829,.39079708,.39589018,10.488441
1998,SVN,.43461913,.44065824,.000030506273,-.00029400949,10013.91,10389.182,20586.455,.63185477,.34576416,.33951169,10.328767
1998,SWE,.40209961,.35403702,.000010052735,.0010059192,104969.38,83083.102,218553.16,.52779979,.27262053,.25680777,12.687024
1998,TUR,.48095703,.27496853,6.5918275e-06,-.0014739773,45068.074,49810.633,270332.88,.67800027,.16777138,.15792798,12.6616
1998,TWN,.37382811,.40014029,.000019623049,-.0012966666,129585.44,118725.57,265147.16,.6194213,.32969272,.30077469,12.885963
1998,USA,.47607422,.18071194,.000016236618,.0039801784,864155.94,987743.88,8948874,.60086542,.089797482,.10065636,16.099222
1999,AUS,.30659181,.20009199,8.1668641e-06,-.0026529592,82657.727,85369.617,401642.25,.57435322,.1303819,.17627425,13.09046
1999,AUT,.44970703,.36550847,3.3925148e-06,-.00023661922,78761.547,77362.039,197857.03,.57353479,.26351285,.27967045,12.530395
1999,BEL,.40209961,.46801686,.000016618375,.00045727115,160458.56,141951.66,224291.73,.5856902,.38688037,.36894488,12.86035
1999,BGR,.47607422,.52575272,.000022987722,.00082729,6949.7559,7204.3638,12531.33,.73600137,.37458652,.36981326,9.8771992
1999,BRA,.53952634,.27025256,.000010474517,-.0016669645,55558.945,60009.887,560464.56,.69850808,.11032805,.097414933,13.33104
1999,CAN,.39492187,.33329245,9.3391009e-06,.0010830869,276309.72,238488.83,601260.25,.50710702,.27346528,.27176046,13.684912
1999,CHN,.28798828,.23010434,2.7510121e-06,.00030873917,218500.95,177255.91,1050601,.58872241,.14417543,.13967034,14.05382
1999,CYP,.58212888,.42589131,.00002885609,.00046788287,2162.2451,4092.2122,11229.645,.97505915,.28309643,.30557391,9.5024042
1999,CZE,.35039061,.44738397,5.1326087e-06,-.0016872549,30919.514,31669.803,59247.758,.67334563,.33197281,.3512339,11.409422
1999,DEU,.45654297,.30606839,7.8414578e-06,.0025805908,600302.88,520999.81,1952754.1,.49008176,.19830991,.204069,14.752802
1999,DNK,.40825194,.31439734,.000021085747,-.000052984029,63789.141,52539.43,148084.75,.47205296,.26716575,.24797501,12.263746
1999,ESP,.46826172,.35866565,.00007308252,.0013565472,134697.56,164268.97,617804.94,.69913179,.23449893,.2182969,13.531159
1999,EST,.40122071,.49689242,8.4047742e-06,-.00018448087,3304.5654,3740.8933,6012.8359,.72532481,.39571413,.40149534,9.1396389
1999,FIN,.33872071,.29778495,.000012328484,.00097568001,49564.395,36014.113,108589.29,.48302701,.23246929,.22771592,11.971322
1999,FRA,.51857913,.33616889,.00012276857,.00015266506,351545.16,312844.66,1337767.5,.52410573,.21290134,.1851905,14.339832
1999,GBR,.42143553,.26973459,4.4808417e-06,.000067520625,365501,356517.81,1412873.4,.52990627,.17307639,.20047399,14.391211
1999,GRC,.54973143,.36472565,.000029064002,.00027153961,16897.086,37335.688,152477.88,1,.24677758,.22043215,12.03987
1999,HUN,.5363037,.61053306,7.8353278e-06,-.00027857293,26340.254,29157.662,48855.965,.80311674,.42562217,.38775435,11.227857
1999,IDN,.27626953,.21386838,.000017402837,.000086163396,51848.52,37259.637,152232.31,.52749503,.16328651,.18257293,12.226272
1999,IND,.46240234,.26631385,.000046191242,.00042953968,55007.254,59759.285,465227.38,.85900873,.12875129,.11486987,13.162035
1999,IRL,.26044923,.44966638,5.6497661e-06,-.00079634314,79579.023,63494.402,75612.352,.59399492,.40805599,.40913615,11.952415
1999,ITA,.48388672,.33812043,.000074789801,.00081026659,267446.13,248998.5,1117033.4,.5571748,.17715217,.17984989,14.140835
1999,JPN,.45458984,.14115034,.000026125414,.00102523,449039.97,332977.69,4248719,.43840399,.072730914,.070880115,15.362597
1999,KOR,.39023438,.38511467,.000015113144,.00166091,166448.66,130177.74,410783.19,.60771513,.27357665,.22552072,13.265999
1999,LTU,.51159668,.4589214,.00001603326,-.00088217959,3530.4419,4855.9106,11461.566,.79331219,.30964908,.32389995,9.6152725
1999,LUX,.31069335,.5740869,5.2676437e-06,-.00028487816,24659.52,21572.068,16901.143,.65353119,.54755801,.51905018,10.63491
1999,LVA,.36914063,.34069788,.000018274788,-.0017459377,2697.958,3166.022,7396.1558,.62876701,.25184712,.31365031,9.2197075
1999,MEX,.61984861,.45348841,.000089108864,-.001872415,140102.45,140646.91,527088.06,.70956963,.30219278,.21080472,13.41083
1999,MLT,.57685548,.62042385,.00002111729,-.00085978414,2486.6763,3136.0852,4396.6826,.76537591,.48098275,.4556039,8.8368616
1999,NLD,.42231447,.42061749,7.1109812e-06,-.0012918224,212322.09,184993.3,365732.53,.56927049,.32390484,.32002735,13.267424
1999,POL,.49267578,.39997396,7.9192914e-06,-.0032200604,40164.016,47847.688,166385.56,.67950666,.21155441,.23165232,12.238296
1999,PRT,.49951172,.4260208,.000011754461,.00068371021,29866.783,43418.066,127450.51,.79466349,.27953023,.27599043,11.96602
1999,ROM,.31069335,.30727521,5.3342555e-06,-.000037311351,9671.4961,11308.976,36470.301,.78208137,.2353317,.2450918,10.739474
1999,RUS,0,.098413445,2.0848586e-06,-.0067193923,73610.602,40972.586,151148.77,.30678663,.10404624,.18229534,12.322785
1999,RoW,.37148437,.31885338,.000062430445,.0002982491,824736.13,1054353.1,3486683.8,.88107538,.23540755,.24454893,15.276778
