year	country	leontiefreuse	domesticpref	reuse	exports	imports	consumption	maxflow	importshare
2000	DEU	.22186591	.45273438	.32851949	614536.88	548615.69	1741002.5	306189.5	.23290448
2000	DNK	.29976651	.44492188	.36347407	68026.875	56304.5	135982.06	34144.145	.27599037
2000	ESP	.2718356	.50576174	.42970049	140903.5	175674.7	589500.31	108881.42	.24051723
2000	EST	.41244546	.37226564	.50406176	3801.3362	4096.4849	6077.4233	2666.2441	.41467604
2000	FIN	.27490053	.37460938	.35275003	51607.938	38668.469	102241.57	27742.477	.25133955
2000	FRA	.24392341	.54970706	.38853258	349817.31	329007.38	1240773.3	201717.69	.20684604
2000	GBR	.1891091	.39882812	.27808633	378672.44	372960.94	1399652.8	195805.36	.20972595
2000	GRC	.30523711	.54501951	.42095298	18109.465	40427.125	141715.42	14708.619	.25294638
2000	HUN	.47982568	.55976564	.66353041	30283.072	33386.656	47882.242	25285.371	.42712879
2000	IDN	.1903749	.18173829	.22343098	65346.246	47322.125	158245.8	32129.143	.21164495
2000	IND	.14594768	.47382814	.30074492	67708.289	66742.156	475482.25	53165.648	.12287062
2000	IRL	.44776195	.27783203	.49034193	88633.641	72614.742	76654.477	50775.223	.4393222
2000	ITA	.2075852	.46992189	.37496266	271816.63	265066.13	1036346.8	162441.36	.20262462
2000	JPN	.083976351	.45585936	.16624412	512774.72	393855.25	4532695.5	242075.19	.078061156
2000	KOR	.29622605	.41601563	.41700667	199217.28	173153.47	486197.59	130448.04	.25262579
2000	LTU	.3394101	.51748049	.48008636	4403.0132	5338.125	11542.881	3094.9553	.33476487
2000	LUX	.58332205	.33632812	.61537641	26095.381	22860.846	15899.335	17138.438	.54437435
2000	LVA	.25820222	.36992186	.35402519	3038.6538	3394.6379	7853.0996	1869.3247	.31167048
2000	MEX	.30391347	.58554685	.45160607	170880.42	173118.36	632925.81	111526.01	.21537325
2000	MLT	.52526802	.60361326	.67384446	2854.0371	3538.1357	4399.7007	2222.9021	.48776725
2000	NLD	.34450087	.39257813	.42636767	214498.08	183369.48	339053.5	123940.11	.33125997
2000	POL	.2622866	.52568358	.46525732	46634.023	55163.602	171262.63	35682.977	.25316405
2000	PRT	.29985404	.51748049	.45458347	29622.074	43173.789	119737.01	22997.859	.28906035
2000	ROM	.26674312	.33085936	.34530154	11602.477	13620.558	38002.309	7790.9751	.27458152
2000	RUS	.10119984	.044140626	.10589384	98756.914	50383.551	193819.22	26373.006	.17220664
2000	RoW	.25013936	.38632813	.32843634	1081819.6	1180522	3497115.3	736909.56	.25781587
2000	SVK	.42566898	.40976563	.53794706	13620.688	13679.576	19898.357	9312.126	.40811354
2000	SVN	.36864612	.42226562	.46326864	9813.2236	10541.533	19485.721	6386.7324	.35979226
2000	SWE	.29803884	.41367188	.39479306	110832.79	89747.977	213566.17	60196.859	.27665925
2000	TUR	.19856144	.54912108	.40303981	42466.727	59045.727	285000.28	36649.852	.18031046
2000	TWN	.35957661	.39179689	.42318362	171728.88	155143.66	305064.81	95276.492	.3253895
2000	USA	.10609435	.47539061	.20706178	982508.63	1316038.5	10300000	686314.88	.11664414
2001	AUS	.12717986	.32460937	.20085163	80344.703	75165.031	357850.44	40754.695	.17153324
