Country;Bending;Reuse;Variance;Covariance;Year;Exports;Imports;Consumption;Max Flow
GBR;0.398828125;0.278086346;1.04E-04;-5.35E-04;2000;378672.4356;372960.9424;1399652.786;195805.3582
GRC;0.545019531;0.420952986;5.64E-04;8.08E-05;2000;18109.46548;40427.12473;141715.4212;14708.61905
HUN;0.559765625;0.663530439;1.66E-04;-3.70E-04;2000;30283.07134;33386.65801;47882.24101;25285.37167
IDN;0.181738281;0.223430979;9.18E-05;-4.02E-04;2000;65346.24729;47322.12398;158245.7906;32129.14311
IND;0.473828125;0.300744918;3.77E-04;-6.94E-04;2000;67708.29114;66742.15439;475482.2641;53165.64789
IRL;0.277832031;0.490341925;9.34E-05;4.39E-04;2000;88633.63979;72614.74084;76654.47445;50775.22425
ITA;0.469921875;0.374962652;3.80E-04;5.79E-04;2000;271816.6396;265066.1147;1036346.787;162441.3531
JPN;0.455859375;0.166244116;2.05E-04;0.002407658;2000;512774.7077;393855.2531;4532695.377;242075.1813
KOR;0.416015625;0.41700666;3.88E-04;-8.12E-04;2000;199217.2776;173153.4718;486197.6091;130448.038
LTU;0.517480469;0.480086342;1.46E-04;-4.76E-04;2000;4403.013187;5338.125091;11542.88047;3094.955414
LUX;0.336328125;0.615376436;6.24E-05;-6.24E-04;2000;26095.38097;22860.84514;15899.33543;17138.43812
LVA;0.369921875;0.354025174;1.37E-04;7.12E-04;2000;3038.653794;3394.637872;7853.099389;1869.324713
MEX;0.585546875;0.451606064;5.72E-04;4.14E-04;2000;170880.4244;173118.3598;632925.8273;111526.0079
MLT;0.603613281;0.673844473;1.14E-04;-5.62E-04;2000;2854.0371;3538.135735;4399.700605;2222.90199
NLD;0.392578125;0.426367661;1.41E-04;-5.47E-04;2000;214498.0794;183369.4879;339053.4985;123940.113
POL;0.525683594;0.465257302;1.64E-04;-1.91E-04;2000;46634.02225;55163.60326;171262.6316;35682.97732
PRT;0.517480469;0.454583469;1.42E-04;-0.001020214;2000;29622.07326;43173.78916;119737.004;22997.85894
ROM;0.330859375;0.345301544;1.60E-04;0.002042413;2000;11602.47669;13620.55735;38002.30738;7790.975042
RUS;0.044140625;0.105893839;1.50E-05;-8.55E-04;2000;98756.91533;50383.55027;193819.2247;26373.00663
RoW;0.386328125;0.328436356;5.20E-04;-2.78E-04;2000;1081819.672;1180522.01;3497115.335;736909.5637
SVK;0.409765625;0.537947083;7.24E-05;-0.001485;2000;13620.68796;13679.57571;19898.35712;9312.125898
SVN;0.422265625;0.463268639;1.55E-04;-5.13E-04;2000;9813.223233;10541.53323;19485.72009;6386.732286
